行,彳丁
髟,镸彡
蹭,足曾
棍,木昆
蹲,足尊
別,另刀
蹺,足堯
進,辶隹
涎,水延
涉,水步
消,水肖
逸,辶兔
逾,辶俞
涂,水余
逼,辶畐
逢,辶夆
連,辶車
造,辶告
蔔,艹匐
蔓,艹曼
州,川
蔑,艹罒戍
巒,糸言山
涕,水弟
逮,辶隶
蔚,艹尉
巫,工人
涮,水刷
巩,工凡
巨,工匚
蔣,艹將
差,羊工
途,辶余
通,辶甬
巢,川果
巡,辶川
巠,巠
巧,工丂
左,又工
工,工
巤,鼠川囟
逃,辶兆
退,辶艮
送,辶天八
巿,巿
巾,巾
巳,巳
已,巳
己,己
巷,共巳
透,辶秀
巴,巴
燕,北口廿火
奚,爪幺大
奕,亦大
奔,大十廾
營,火冖呂
契,丰刀大
奐,奐
視,示見
見,目儿
奉,丰廾
奈,大示
規,夫見
要,西女
奄,大电
奇,大可
燎,火尞
燈,火登
覆,西彳复
好,女子
覺,爻見與冖
覽,臨見
奸,女干
奴,女又
奶,女乃
女,女
燥,火喿
奮,大隹田
奪,大隹寸
奥,冂米大
奧,奥
奠,酋大
奢,大者
仇,人九
肯,止月
初,衣刀
肩,戶月
什,人十
仁,人二
肥,月巴
格,木各
仍,人乃
今,亼一
介,人八
剿,巢刀
肢,月支
他,人也
仗,人丈
仔,人子
齒,齒
校,木交
肺,月巿
剩,乘刀
肴,乂有
剪,前刀
付,人寸
育,子月
肌,月几
令,亼厶
以,人
肉,肉
代,人弋
肋,月力
胃,田月
肅,聿片片
肄,匕矢聿
剛,刀岡
肆,镸聿
剝,彔刀
肀,肀
過,辶咼
件,人牛
剃,弟刀
仲,人中
肘,月寸
仰,人卬
肚,月土
仿,人方
肖,小月
前,月刀一八
剌,束刀
駐,馬主
桌,卓木
覓,爪見
瞭,目尞
胎,月台
窿,穴隆
側,人則
低,人氐
偶,人禺
磁,石兹
站,立占
磅,石旁
嗽,口欶
躍,足翟
磕,石去皿
骨,咼月
磚,石專
齋,齊小
躬,身弓
身,身
躪,足藺
