扯	che3	手 shŏu; 止 zhĭ
创	chuang4 chuang1	仓 cāng; 刀 dāo
吹	chui1 chui4	口 kŏu; 欠 qiàn qian
炊	chui1 chui4	火 huŏ; 欠 qiàn qian
垂	chui2	土 tŭ; 艹 căo
捶	chui2	手 shŏu; 垂 chuí
锤	chui2	金 jīn; 垂 chuí
春	chun1	丰 fēng; 日 rì
椿	chun1	木 mù; 春 chūn
纯	chun2	糸 mì; 屯 tún zhūn
唇	chun2	辰 chén; 口 kŏu
淳	chun2	水 shuĭ; 享 xiăng
醇	chun2	酉 yŏu; 享 xiăng
蠢	chun3	春 chūn; 虫 chóng huĭ
戳	chuo1	翟 zhái dí; 戈 gē
辶	chuo4	彳 chì; 止 zhĭ
绰	chuo4 chao1 chuo5	糸 mì; 卓 zhuó zhuō
词	ci2	言 yán; 司 sī
祠	ci2	示 shì; 司 sī
瓷	ci2	次 cì; 瓦 wă wà
慈	ci2	兹 zī cí; 心 xīn
辞	ci2	舌 shé; 辛 xīn
磁	ci2	石 shí dàn; 兹 zī cí
雌	ci2 ci1	此 cĭ; 隹 zhuī cuī
此	ci3	止 zhĭ; 匕 bĭ
朿	ci4	木 mù; 冂 jiōng
次	ci4	冫 bīng; 欠 qiàn qian
刺	ci4 ci1	朿 cì; 刀 dāo
赐	ci4	贝 bèi; 易 yì
从	cong2 cong1	人 rén
匆	cong1	勿 wù
葱	cong1	艹 căo; 匆 cōng; 心 xīn
聪	cong1	耳 ĕr; 总 zŏng
丛	cong2	从 cóng cōng; 一 yī
凑	cou4	冫 bīng; 奏 zòu
粗	cu1	米 mĭ; 且 qiĕ jū
促	cu4	人 rén; 足 zú jù
醋	cu4	酉 yŏu; 昔 xī xí
簇	cu4	竹 zhú; 族 zú
窜	cuan4	穴 xué xuè; 串 chuàn
篡	cuan4	算 suàn; 厶 sī
崔	cui1	山 shān; 隹 zhuī cuī
催	cui1	人 rén; 崔 cuī
摧	cui1	手 shŏu; 崔 cuī
脆	cui4	月 yuè; 危 wēi wéi
悴	cui4	心 xīn; 卒 zú cù
粹	cui4	米 mĭ; 卒 zú cù
翠	cui4	羽 yŭ; 卒 zú cù
村	cun1	木 mù; 寸 cùn
存	cun2	才 cái; 子 zi zĭ zí
寸	cun4	又 yòu; 一 yī
搓	cuo1	手 shŏu; 差 chā chà chāi cī
撮	cuo1 zuo3 cuo4 cuo3	手 shŏu; 最 zuì
挫	cuo4	手 shŏu; 坐 zuò
措	cuo4	手 shŏu; 昔 xī xí
锉	cuo4	金 jīn; 坐 zuò
错	cuo4	金 jīn; 昔 xī xí
搭	da1	手 shŏu; 荅 dá
达	da2	辶 chuò; 大 dà dài
荅	da2	艹 căo; 合 hé gĕ
答	da2 da1	竹 zhú; 合 hé gĕ
瘩	da2 da5	疒 chuáng; 荅 dá
打	da3 da2	手 shŏu; 丁 dīng zhēng
大	da4 dai4	大 dà dài
呆	dai1 ai2	口 kŏu; 木 mù
歹	dai3	歹 dăi
代	dai4	人 rén; 弋 yì
带	dai4	艹 căo; 冖 mì; 巾 jīn
待	dai4 dai1	彳 chì; 寺 sì
怠	dai4	台 tái tāi; 心 xīn
贷	dai4	代 dài; 贝 bèi
袋	dai4	代 dài; 衣 yī yì yĭ
逮	dai4 dai3	辶 chuò; 隶 lì
戴	dai4	異 yì; 烖 zāi
丹	dan1	丹 dān
单	dan1 chan2 shan4	单 dān chán shàn
担	dan1 dan4 dan3	手 shŏu; 旦 dàn
耽	dan1	耳 ĕr; 冘 yín
胆	dan3	月 yuè; 旦 dàn
掸	dan3 shan4 shan3	手 shŏu; 单 dān chán shàn
亶	dan3 dan4	啚 bĭ; 旦 dàn
旦	dan4	日 rì; 一 yī
但	dan4	人 rén; 旦 dàn
诞	dan4	言 yán; 延 yán
弹	dan4 tan2	弓 gōng; 单 dān chán shàn
淡	dan4	水 shuĭ; 炎 yán
蛋	dan4	足 zú jù; 虫 chóng huĭ
氮	dan4	气 qì; 炎 yán
当	dang1 dang4	小 xiăo; 彐 jì
裆	dang1	衣 yī yì yĭ; 当 dāng dàng
挡	dang3 dang4	手 shŏu; 当 dāng dàng
党	dang3	尚 shàng; 儿 ér r2
荡	dang4	艹 căo; 汤 tāng shāng
档	dang4	木 mù; 当 dāng dàng
刀	dao1	刀 dāo
叨	tao1 dao1 dao2	口 kŏu; 刀 dāo
导	dao3	巳 sì; 寸 cùn
岛	dao3	鸟 niăo diăo; 山 shān
倒	dao3 dao4	人 rén; 到 dào
捣	dao3	手 shŏu; 岛 dăo
祷	dao3	示 shì; 寿 shòu
蹈	dao3	足 zú jù; 舀 yăo
到	dao4	至 zhì; 刀 dāo
悼	dao4	心 xīn; 卓 zhuó zhuō
盗	dao4	次 cì; 皿 mĭn
道	dao4	辶 chuò; 首 shŏu
稻	dao4	禾 hé; 舀 yăo
得	de2 de5 dei3	彳 chì; 旦 dàn; 寸 cùn
德	de2	彳 chì; 直 zhí; 心 xīn
的	de5 di4 di2	白 bái; 勺 sháo shuò biāo
灯	deng1	火 huŏ; 丁 dīng zhēng
登	deng1	癶 bō; 豆 dòu
蹬	deng4 deng1	足 zú jù; 登 dēng
等	deng3	竹 zhú; 寺 sì
邓	deng4	又 yòu; 邑 yì
凳	deng4	登 dēng; 几 jĭ jī
瞪	deng4	目 mù; 登 dēng
低	di1	人 rén; 氐 dĭ dī
堤	di1 ti2	土 tŭ; 是 shì
嘀	di2 di1	口 kŏu; 啇 dī
滴	di1	水 shuĭ; 啇 dī
狄	di2	犬 quăn quán; 火 huŏ
敌	di2	舌 shé; 攵 pō
涤	di2	水 shuĭ; 条 tiáo
笛	di2	竹 zhú; 由 yóu
嫡	di2	女 nǚ rŭ; 啇 dī
氐	di3 di1	氏 shì zhī
底	di3 de5	广 guăng ān; 氐 dĭ dī
抵	di3	手 shŏu; 氐 dĭ dī
地	di4 de5	土 tŭ; 也 yĕ
弟	di4	八 bā bá; 弔 diào
帝	di4	帝 dì
递	di4	辶 chuò; 弟 dì
啇	di1	帝 dì; 口 kŏu
第	di4	竹 zhú; 弔 diào
缔	di4	糸 mì; 帝 dì
蒂	di4	艹 căo; 帝 dì
掂	dian1	手 shŏu; 店 diàn
颠	dian1	真 zhēn; 页 yè
典	dian3	册 cè; 丌 jī
点	dian3 dian5	占 zhàn zhān; 火 huŏ
碘	dian3	石 shí dàn; 典 diăn
电	dian4	申 shēn; 乚 yĭn
佃	dian4 tian2	人 rén; 田 tián
甸	dian4	勹 bāo; 田 tián
店	dian4	广 guăng ān; 占 zhàn zhān
垫	dian4	执 zhí; 土 tŭ
玷	dian4	王 wáng wàng; 占 zhàn zhān
惦	dian4	心 xīn; 店 diàn
淀	dian4	水 shuĭ; 定 dìng
奠	dian4	酋 qiú; 大 dà dài
殿	dian4	尸 shī; 共 gòng gōng gŏng; 殳 shū
刁	diao1	刀 dāo
叼	diao1	口 kŏu; 刁 diāo
碉	diao1	石 shí dàn; 周 zhōu
雕	diao1	周 zhōu; 隹 zhuī cuī
弔	diao4	弓 gōng
吊	diao4	口 kŏu; 巾 jīn
钓	diao4	金 jīn; 勺 sháo shuò biāo
调	diao4 tiao2	言 yán; 周 zhōu
掉	diao4	手 shŏu; 卓 zhuó zhuō
爹	die1	父 fù fŭ; 多 duō
跌	die1 die2	足 zú jù; 失 shī
谍	die2	言 yán; 枼 yè
叠	die2	又 yòu; 宜 yí
碟	die2	石 shí dàn; 枼 yè
蝶	die2	虫 chóng huĭ; 枼 yè
丁	ding1 zheng1	丁 dīng zhēng
叮	ding1	口 kŏu; 丁 dīng zhēng
盯	ding1	目 mù; 丁 dīng zhēng
钉	ding1 ding4	金 jīn; 丁 dīng zhēng
顶	ding3	丁 dīng zhēng; 页 yè
鼎	ding3	鼎 dĭng
订	ding4	言 yán; 丁 dīng zhēng
定	ding4	宀 mián; 足 zú jù
锭	ding4	金 jīn; 定 dìng
丢	diu1	去 qù
东	dong1	木 mù
冬	dong1	夂 zhĭ; 冫 bīng
董	dong3	艹 căo; 重 zhòng chóng
懂	dong3	心 xīn; 董 dŏng
动	dong4	云 yún; 力 lì
冻	dong4	冫 bīng; 东 dōng
栋	dong4	木 mù; 东 dōng
洞	dong4	水 shuĭ; 同 tóng tòng
都	dou1 du1	者 zhĕ; 邑 yì
兜	dou1	白 bái; 儿 ér r2
斗	dou4 dou3	斗 dòu dŏu
抖	dou3	手 shŏu; 斗 dòu dŏu
陡	dou3	阜 fù; 走 zŏu
蚪	dou3	虫 chóng huĭ; 斗 dòu dŏu
豆	dou4	豆 dòu
逗	dou4	辶 chuò; 豆 dòu
痘	dou4	疒 chuáng; 豆 dòu
督	du1	叔 shū shú; 目 mù
毒	du2	生 shēng; 母 mŭ
读	du2 dou4	言 yán; 卖 mài
牍	du2	片 piàn piān; 卖 mài
独	du2	犬 quăn quán; 虫 chóng huĭ
堵	du3	土 tŭ; 者 zhĕ
赌	du3	贝 bèi; 者 zhĕ
睹	du3	目 mù; 者 zhĕ
妒	du4	女 nǚ rŭ; 户 hù
杜	du4	木 mù; 土 tŭ
肚	du4 du3	月 yuè; 土 tŭ
度	du4 duo2 duo4	广 guăng ān; 廿 niàn; 又 yòu
渡	du4	水 shuĭ; 度 dù duó duò
镀	du4	金 jīn; 度 dù duó duò
耑	zhuan1 duan1	屮 chè; 而 ér
端	duan1	立 lì; 耑 zhuān duān
短	duan3	矢 shĭ; 豆 dòu
段	duan4	爪 zhuă zhăo; 殳 shū
断	duan4	米 mĭ; 斤 jīn jin
缎	duan4	糸 mì; 段 duàn
锻	duan4	金 jīn; 段 duàn
垖	dui1	垖 duī
