扯	che3	手 shŏu; 止 zhĭ
面	mian4	囗 wéi; 自 zì
苗	miao2	艹 căo; 田 tián
描	miao2	手 shŏu; 苗 miáo
瞄	miao2	目 mù; 苗 miáo
眇	miao3	目 mù; 少 shăo shào
秒	miao3	禾 hé; 少 shăo shào
渺	miao3	水 shuĭ; 眇 miăo
藐	miao3	艹 căo; 貌 mào
妙	miao4	女 nǚ rŭ; 少 shăo shào
庙	miao4	广 guăng ān; 由 yóu
灭	mie4	一 yī; 火 huŏ
蔑	mie4	艹 căo; 网 wăng; 戍 shù
民	min2	民 mín
皿	min3	皿 mĭn
闽	min3	门 mén; 虫 chóng huĭ
悯	min3	心 xīn; 门 mén; 文 wén wèn
敏	min3	每 mĕi; 攵 pō
名	ming2	夕 xī xì; 口 kŏu
明	ming2	日 rì; 月 yuè
鸣	ming2	口 kŏu; 鸟 niăo diăo
冥	ming2	冖 mì; 日 rì; 六 liù lù
铭	ming2	金 jīn; 名 míng
螟	ming2	虫 chóng huĭ; 冥 míng
命	ming4	亼 jí; 口 kŏu; 卩 jié
谬	miu4	言 yán; 翏 liù
摸	mo1 mo2	手 shŏu; 莫 mò
馍	mo2	食 shí sì yì; 莫 mò
摹	mo2	莫 mò; 手 shŏu
模	mo2 mu2	木 mù; 莫 mò
膜	mo2 mo4	月 yuè; 莫 mò
摩	mo2 ma1	麻 má mā; 手 shŏu
磨	mo2 mo4	麻 má mā; 石 shí dàn
蘑	mo2	艹 căo; 磨 mó mò
魔	mo2	麻 má mā; 鬼 guĭ
抹	mo3 ma1 mo4	手 shŏu; 末 mò
末	mo4	木 mù; 一 yī
沫	mo4	水 shuĭ; 末 mò
茉	mo4	艹 căo; 末 mò
陌	mo4	阜 fù; 百 băi bó
莫	mo4	艹 căo; 日 rì; 大 dà dài
寞	mo4	宀 mián; 莫 mò
漠	mo4	水 shuĭ; 莫 mò
墨	mo4	黑 hēi; 土 tŭ
默	mo4	黑 hēi; 犬 quăn quán
谋	mou2	言 yán; 某 mŏu
某	mou3	甘 gān; 木 mù
母	mu3	母 mŭ
亩	mu3	十 shí; 田 tián
牡	mu3	牛 niú; 土 tŭ
姆	mu3	女 nǚ rŭ; 母 mŭ
拇	mu3	手 shŏu; 母 mŭ
木	mu4	木 mù
目	mu4	目 mù
沐	mu4	水 shuĭ; 木 mù
牧	mu4	牛 niú; 攵 pō
募	mu4	莫 mò; 力 lì
墓	mu4	莫 mò; 土 tŭ
幕	mu4	莫 mò; 巾 jīn
睦	mu4	目 mù; 土 tŭ; 八 bā bá
慕	mu4	莫 mò; 心 xīn
暮	mu4	莫 mò; 日 rì
穆	mu4	禾 hé; 帛 bó; 彡 shān
拿	na2	合 hé gĕ; 手 shŏu
哪	na3 nei3 na5 ne2 nai3	口 kŏu; 那 nèi nà nā nă
内	nei4	冂 jiōng; 人 rén
那	nei4 na4 na1 na3	冄 răn; 邑 yì
纳	na4	糸 mì; 内 nèi
娜	na4 nuo2	女 nǚ rŭ; 那 nèi nà nā nă
钠	na4	金 jīn; 内 nèi
捺	na4	手 shŏu; 奈 nài năi
乃	nai3	乃 năi
奶	nai3	女 nǚ rŭ; 乃 năi
奈	nai4 nai3	大 dà dài; 示 shì
耐	nai4	而 ér; 寸 cùn
男	nan2	田 tián; 力 lì
南	nan2 na1	十 shí; 半 bàn; 冂 jiōng
难	nan2 nan4	又 yòu; 隹 zhuī cuī
囊	nang2 nang1	冖 mì; 中 zhōng zhòng; 襄 xiāng
挠	nao2	手 shŏu; 尧 yáo
恼	nao3	心 xīn; 囟 xìn
脑	nao3	月 yuè; 囟 xìn
闹	nao4	门 mén; 市 shì
疒	chuang2	疒 chuáng
呐	na4 na5 ne4 ne5	口 kŏu; 内 nèi
呢	ni2 ne5 na4 ne4	口 kŏu; 尼 ní
馁	nei3	食 shí sì yì; 妥 tuŏ
嫩	nen4	女 nǚ rŭ; 束 shù; 攵 pō
能	neng2	能 néng
尼	ni2	尸 shī; 匕 bĭ
泥	ni2 ni4	水 shuĭ; 尼 ní
你	ni3	人 rén; 尔 ĕr
拟	ni3	手 shŏu; 以 yĭ
屰	ni4	干 gān gàn; 屮 chè
昵	ni4 ni3	日 rì; 尼 ní
逆	ni4	辶 chuò; 屰 nì
匿	ni4	匚 fāng xĭ; 若 ruò rĕ
溺	ni4 niao4	水 shuĭ; 弱 ruò
腻	ni4	月 yuè; 贰 èr
年	nian2	人 rén
捻	nian3	手 shŏu; 念 niàn
辇	nian3	夫 fū fú; 车 chē jū
撵	nian3	手 shŏu; 辇 niăn
碾	nian3	石 shí dàn; 展 zhăn
廿	nian4	十 shí
念	nian4	今 jīn; 心 xīn
娘	niang2	女 nǚ rŭ; 良 liáng
酿	niang4 nian4 niang2	酉 yŏu; 良 liáng
鸟	niao3 diao3	鸟 niăo diăo
尿	niao4 sui1 ni4	尸 shī; 水 shuĭ
捏	nie1	手 shŏu; 日 rì; 土 tŭ
聂	nie4	耳 ĕr; 双 shuāng
镊	nie4	金 jīn; 聂 niè
孽	nie4	薛 xuē; 子 zi zĭ zí
您	nin2	你 nĭ; 心 xīn
宁	ning2 ning4	宀 mián; 丁 dīng zhēng
拧	ning3 ning2 ning4	手 shŏu; 宁 níng nìng
狞	ning2	犬 quăn quán; 宁 níng nìng
柠	ning2	木 mù; 宁 níng nìng
凝	ning2	冫 bīng; 疑 yí
泞	ning4	水 shuĭ; 宁 níng nìng
牛	niu2	牛 niú
扭	niu3	手 shŏu; 丑 chŏu
纽	niu3	糸 mì; 丑 chŏu
钮	niu3	金 jīn; 丑 chŏu
农	nong2	冖 mì; 衣 yī yì yĭ
浓	nong2	水 shuĭ; 农 nóng
脓	nong2	月 yuè; 农 nóng
弄	nong4 long4	王 wáng wàng; 廾 gŏng
奴	nu2	女 nǚ rŭ; 又 yòu
努	nu3 nao2	奴 nú; 力 lì
怒	nu4	奴 nú; 心 xīn
女	nü3 ru3	女 nǚ rŭ
疟	nüe4 yao4	疒 chuáng; 又 yòu
虐	nüe4	虍 hū; 又 yòu
暖	nuan3	日 rì; 爰 yuán
挪	nuo2	手 shŏu; 那 nèi nà nā nă
诺	nuo4	言 yán; 若 ruò rĕ
懦	nuo4	心 xīn; 需 xū
糯	nuo4	米 mĭ; 需 xū
欧	ou1	区 qū ōu; 欠 qiàn qian
殴	ou1	区 qū ōu; 殳 shū
鸥	ou1	区 qū ōu; 鸟 niăo diăo
呕	ou3 ou4	口 kŏu; 区 qū ōu
偶	ou3	人 rén; 禺 yú yù
耦	ou3	耒 lĕi; 禺 yú yù
藕	ou3	艹 căo; 耦 ŏu
趴	pa1	足 zú jù; 八 bā bá
爬	pa2	爪 zhuă zhăo; 巴 bā
耙	pa2 ba4	耒 lĕi; 巴 bā
帕	pa4	巾 jīn; 白 bái
怕	pa4	心 xīn; 白 bái
拍	pai1	手 shŏu; 白 bái
徘	pai2	彳 chì; 非 fēi
排	pai2 pai3	手 shŏu; 非 fēi
牌	pai2	片 piàn piān; 卑 bēi
派	pai4 pa1	水 shuĭ; 水 shuĭ
湃	pai4	水 shuĭ; 拜 bài
潘	pan1	水 shuĭ; 番 fān pān
攀	pan1	樊 fán; 手 shŏu
盘	pan2	舟 zhōu; 皿 mĭn
判	pan4	半 bàn; 刀 dāo
叛	pan4	半 bàn; 反 făn
盼	pan4	目 mù; 分 fēn fèn
畔	pan4	田 tián; 半 bàn
乓	pang1	兵 bīng
庞	pang2	广 guăng ān; 龙 lóng
旁	pang2 bang4	立 lì; 方 fāng
螃	pang2	虫 chóng huĭ; 旁 páng bàng
胖	pang4 pan2	月 yuè; 半 bàn
抛	pao1	手 shŏu; 九 jiŭ; 力 lì
刨	bao4 pao2	包 bāo; 刀 dāo
咆	pao2	口 kŏu; 包 bāo
炮	pao4 bao1 pao2 pao1	火 huŏ; 包 bāo
袍	pao2	衣 yī yì yĭ; 包 bāo
跑	pao3 pao2	足 zú jù; 包 bāo
泡	pao4 pao1	水 shuĭ; 包 bāo
胚	pei1	月 yuè; 丕 pī
陪	pei2	阜 fù; 咅 pŏu
培	pei2	土 tŭ; 咅 pŏu
赔	pei2	贝 bèi; 咅 pŏu
沛	pei4	水 shuĭ; 巿 fú
佩	pei4	人 rén; 凡 fán; 巾 jīn
配	pei4	酉 yŏu; 己 jĭ
喷	pen1 pen4 pen5	口 kŏu; 贲 bì bēn
盆	pen2	分 fēn fèn; 皿 mĭn
砰	peng1	石 shí dàn; 平 píng
烹	peng1	亨 hēng; 火 huŏ
朋	peng2	朋 péng
彭	peng2	壴 zhŭ; 彡 shān
棚	peng2	木 mù; 朋 péng
硼	peng2	石 shí dàn; 朋 péng
蓬	peng2	艹 căo; 逢 féng
鹏	peng2	朋 péng; 鸟 niăo diăo
澎	peng2 peng1	水 shuĭ; 彭 péng
篷	peng2	竹 zhú; 逢 féng
膨	peng2	月 yuè; 彭 péng
捧	peng3	手 shŏu; 奉 fèng
碰	peng4	石 shí dàn; 並 bìng
丕	pi1	不 bù bú fŏu; 一 yī
批	pi1	手 shŏu; 比 bĭ bì
坯	pi1	土 tŭ; 丕 pī
披	pi1	手 shŏu; 皮 pí
劈	pi1 pi3	辟 pì bì pī; 刀 dāo
霹	pi1	雨 yŭ yù; 辟 pì bì pī
皮	pi2	又 yòu
疲	pi2	疒 chuáng; 皮 pí
啤	pi2	口 kŏu; 卑 bēi
脾	pi2	月 yuè; 卑 bēi
匹	pi3 pi1 ya3	匚 fāng xĭ; 八 bā bá
屁	pi4	尸 shī; 比 bĭ bì
僻	pi4	人 rén; 辟 pì bì pī
譬	pi4	辟 pì bì pī; 言 yán
片	pian4 pian1	片 piàn piān
偏	pian1	人 rén; 扁 biăn piān
篇	pian1	竹 zhú; 扁 biăn piān
翩	pian1	扁 biăn piān; 羽 yŭ
骗	pian4	马 mă; 扁 biăn piān
漂	piao1 piao3 piao4	水 shuĭ; 票 piào
飘	piao1	票 piào; 风 fēng
瓢	piao2	票 piào; 瓜 guā
票	piao4	西 xī; 示 shì
撇	pie3 pie1	手 shŏu; 敝 bì
拼	pin1	手 shŏu; 并 bìng bīng
贫	pin2	分 fēn fèn; 贝 bèi
频	pin2	步 bù; 页 yè
品	pin3	口 kŏu
聘	pin4	耳 ĕr; 甹 píng
乒	ping1	兵 bīng
甹	ping2	由 yóu; 丂 kăo
平	ping2	于 yú; 八 bā bá
评	ping2	言 yán; 平 píng
凭	ping2	任 rèn rén; 几 jĭ jī
坪	ping2	土 tŭ; 平 píng
苹	ping2 pin2	艹 căo; 平 píng
屏	ping2 bing3	尸 shī; 并 bìng bīng
瓶	ping2	并 bìng bīng; 瓦 wă wà
萍	ping2	水 shuĭ; 苹 píng pín
坡	po1	土 tŭ; 皮 pí
泼	po1	水 shuĭ; 发 fā fà
颇	po1	皮 pí; 页 yè
婆	po2	波 bō pō; 女 nǚ rŭ
迫	po4 pai3	辶 chuò; 白 bái
破	po4	石 shí dàn; 皮 pí
魄	po4 tuo4 bo2	白 bái; 鬼 guĭ
剖	pou1 pou3 po3	咅 pŏu; 刀 dāo
咅	pou3	立 lì; 口 kŏu
仆	pu1 pu2	人 rén; 卜 bŭ bo
攵	po1	又 yòu; 卜 bŭ bo
扑	pu1	手 shŏu; 卜 bŭ bo
铺	pu1 pu4	金 jīn; 甫 fŭ
匍	pu2	勹 bāo; 甫 fŭ
菩	pu2	艹 căo; 咅 pŏu
葡	pu2	艹 căo; 匍 pú
蒲	pu2	艹 căo; 浦 pŭ
朴	po4 piao2 pu3 po1 pu2	木 mù; 卜 bŭ bo
圃	pu3	囗 wéi; 甫 fŭ
浦	pu3	水 shuĭ; 甫 fŭ
普	pu3	並 bìng; 日 rì
溥	pu3	水 shuĭ; 尃 fū
谱	pu3	言 yán; 普 pŭ
瀑	pu4 bao4	水 shuĭ; 暴 bào pù
七	qi1	七 qī
妻	qi1 qi4	又 yòu; 女 nǚ rŭ
柒	qi1	水 shuĭ; 七 qī; 木 mù
凄	qi1	冫 bīng; 妻 qī qì
栖	qi1 xi1	木 mù; 西 xī
戚	qi1	戊 wù; 上 shàng shăng; 小 xiăo
桼	qi1	木 mù; 入 rù; 水 shuĭ
期	qi1 ji1 qi2	其 qí jī; 月 yuè
欺	qi1	其 qí jī; 欠 qiàn qian
嘁	qi1	口 kŏu; 戚 qī
漆	qi1 qu4 xi1	水 shuĭ; 桼 qī
齐	qi2 ji4 qi4	齐 qí jì qì
其	qi2 ji1	其 qí jī
奇	qi2 ji1	大 dà dài; 可 kĕ kè
歧	qi2	止 zhĭ; 支 zhī
祈	qi2	示 shì; 斤 jīn jin
耆	qi2	老 lăo; 日 rì
脐	qi2	月 yuè; 齐 qí jì qì
崎	qi2	山 shān; 奇 qí jī
畦	qi2 xi1	田 tián; 圭 guī
骑	qi2	马 mă; 奇 qí jī
棋	qi2	木 mù; 其 qí jī
旗	qi2	於 wū yū yú; 其 qí jī
鳍	qi2	鱼 yú; 耆 qí
乞	qi3	人 rén; 乙 yĭ
企	qi3 qi4	人 rén; 止 zhĭ
岂	qi3	山 shān; 己 jĭ
启	qi3	户 hù; 口 kŏu
起	qi3	走 zŏu; 己 jĭ
气	qi4	气 qì
迄	qi4	辶 chuò; 乞 qĭ
弃	qi4	子 zi zĭ zí; 廾 gŏng
汽	qi4	水 shuĭ; 气 qì
泣	qi4 xie4	水 shuĭ; 立 lì
咠	qi1	口 kŏu; 耳 ĕr
契	qi4 xie4 qie4	丰 fēng; 刀 dāo; 大 dà dài
砌	qi4 qie4	石 shí dàn; 切 qiè qiē
荠	ji4 qi2	艹 căo; 齐 qí jì qì
器	qi4	口 kŏu; 犬 quăn quán
掐	qia1	手 shŏu; 臽 xiàn
恰	qia4	心 xīn; 合 hé gĕ
洽	qia4 xia2	水 shuĭ; 合 hé gĕ
千	qian1	十 shí
迁	qian1	辶 chuò; 千 qiān
佥	qian1	亼 jí; 兴 xīng xìng
臤	qian1	二 èr; 又 yòu
牵	qian1	大 dà dài; 冖 mì; 牛 niú
铅	qian1 yan2	金 jīn; 几 jĭ jī; 口 kŏu
谦	qian1	言 yán; 兼 jiān
签	qian1	竹 zhú; 佥 qiān
前	qian2	月 yuè; 刀 dāo
钱	qian2	金 jīn; 戋 jiān
钳	qian2	金 jīn; 甘 gān
乾	qian2 gan1	倝 gàn; 乙 yĭ
潜	qian2	水 shuĭ; 替 tì
黔	qian2	黑 hēi; 今 jīn
凵	qu1 kan3	凵 qū kăn
浅	qian3 jian1	水 shuĭ; 戋 jiān
遣	qian3	追 zhuī; 中 zhōng zhòng
谴	qian3	言 yán; 遣 qiăn
欠	qian4 qian5	欠 qiàn qian
嵌	qian4 qian1 kan4	山 shān; 甘 gān; 欠 qiàn qian
歉	qian4	兼 jiān; 欠 qiàn qian
呛	qiang1 qiang4	口 kŏu; 仓 cāng
枪	qiang1	木 mù; 仓 cāng
腔	qiang1	月 yuè; 空 kōng kòng
强	qiang2 qiang3 jiang4	弓 gōng; 虽 suī
墙	qiang2	土 tŭ; 啬 sè
抢	qiang3 qiang1	手 shŏu; 仓 cāng
悄	qiao3 qiao1	心 xīn; 肖 xiào xiāo
跷	qiao1	足 zú jù; 尧 yáo
敲	qiao1	高 gāo; 攵 pō
锹	qiao1	金 jīn; 秋 qiū
乔	qiao2	夭 yāo yăo; 八 bā bá
侨	qiao2	人 rén; 乔 qiáo
荞	qiao2	艹 căo; 乔 qiáo
桥	qiao2	木 mù; 乔 qiáo
憔	qiao2	心 xīn; 焦 jiāo
瞧	qiao2 ya3	目 mù; 焦 jiāo
巧	qiao3	工 gōng; 丂 kăo
俏	qiao4	人 rén; 肖 xiào xiāo
峭	qiao4	山 shān; 肖 xiào xiāo
窍	qiao4	穴 xué xuè; 巧 qiăo
翘	qiao2 qiao4	尧 yáo; 羽 yŭ
撬	qiao4	手 shŏu; 毛 máo
切	qie4 qie1	七 qī; 刀 dāo
茄	qie2 jia1	艹 căo; 加 jiā
且	qie3 ju1	且 qiĕ jū
妾	qie4	立 lì; 女 nǚ rŭ
怯	qie4 que4	心 xīn; 去 qù
窃	qie4	穴 xué xuè; 切 qiè qiē
亲	qin1 qin5 qing4	辛 xīn; 木 mù
侵	qin1	人 rén; 唚 qìn
钦	qin1	金 jīn; 欠 qiàn qian
芹	qin2	艹 căo; 斤 jīn jin
秦	qin2	丰 fēng; 禾 hé
琴	qin2	王 wáng wàng; 今 jīn
禽	qin2	人 rén; 离 lí
勤	qin2	堇 jĭn; 力 lì
擒	qin2	手 shŏu; 禽 qín
寝	qin3	宀 mián; 片 piàn piān; 唚 qìn
唚	qin4	帚 zhŏu; 又 yòu
青	qing1	生 shēng; 月 yuè
氢	qing1	气 qì; 巠 jīng
轻	qing1	车 chē jū; 巠 jīng
倾	qing1	人 rén; 顷 qĭng
卿	qing1	卯 măo; 皀 bī
清	qing1	水 shuĭ; 青 qīng
蜻	qing1	虫 chóng huĭ; 青 qīng
情	qing2 qing5	心 xīn; 青 qīng
晴	qing2	日 rì; 青 qīng
擎	qing2	敬 jìng; 手 shŏu
顷	qing3	匕 bĭ; 页 yè
请	qing3	言 yán; 青 qīng
庆	qing4	广 guăng ān; 大 dà dài
穷	qiong2	穴 xué xuè; 力 lì
琼	qiong2	王 wáng wàng; 京 jīng
丘	qiu1	丘 qiū
秋	qiu1	禾 hé; 火 huŏ
蚯	qiu1	虫 chóng huĭ; 丘 qiū
囚	qiu2	囗 wéi; 人 rén
求	qiu2	求 qiú
酋	qiu2	八 bā bá; 酉 yŏu
球	qiu2	王 wáng wàng; 求 qiú
区	qu1 ou1	匚 fāng xĭ; 乂 yì ài
曲	qu3 qu1	曲 qŭ qū
岖	qu1	山 shān; 区 qū ōu
驱	qu1	马 mă; 区 qū ōu
屈	qu1	尸 shī; 出 chū
蛆	qu1 ju1	虫 chóng huĭ; 且 qiĕ jū
躯	qu1	身 shēn juān; 区 qū ōu
趋	qu1	走 zŏu; 刍 chú
渠	qu2	水 shuĭ; 巨 jù; 木 mù
取	qu3	耳 ĕr; 又 yòu
娶	qu3 qu4	取 qŭ; 女 nǚ rŭ
去	qu4	土 tŭ; 厶 sī
趣	qu4 cu4	走 zŏu; 取 qŭ
圈	quan1 juan1 juan4 quan3	囗 wéi; 卷 juăn juàn quán
全	quan2	人 rén; 王 wáng wàng
权	quan2	木 mù; 又 yòu
泉	quan2	白 bái; 水 shuĭ
拳	quan2	半 bàn; 手 shŏu
痊	quan2	疒 chuáng; 全 quán
犬	quan3 quan2	犬 quăn quán
劝	quan4	又 yòu; 力 lì
券	quan4 xuan4	半 bàn; 刀 dāo
缺	que1	缶 fŏu; 夬 guài
瘸	que2	疒 chuáng; 加 jiā; 肉 ròu
却	que4	去 qù; 卩 jié
雀	que4 qiao1 qiao3	小 xiăo; 隹 zhuī cuī
确	que4	石 shí dàn; 角 jiăo jué jiă
鹊	que4	昔 xī xí; 鸟 niăo diăo
夋	qun1	允 yŭn; 夂 zhĭ
裙	qun2	衣 yī yì yĭ; 君 jūn
群	qun2	君 jūn; 羊 yáng
然	ran2	月 yuè; 犬 quăn quán; 火 huŏ
燃	ran2	火 huŏ; 然 rán
冄	ran3	冄 răn
染	ran3	水 shuĭ; 九 jiŭ; 木 mù
瓤	rang2	襄 xiāng; 瓜 guā
嚷	rang3 rang1	口 kŏu; 襄 xiāng
壤	rang3	土 tŭ; 襄 xiāng
攘	rang3 rang2	手 shŏu; 襄 xiāng
让	rang4	言 yán; 上 shàng shăng
饶	rao2	食 shí sì yì; 尧 yáo
扰	rao3	手 shŏu; 尤 yóu
绕	rao3 rao4 rao5	糸 mì; 尧 yáo
惹	re3	若 ruò rĕ; 心 xīn
热	re4	执 zhí; 火 huŏ
人	ren2	人 rén
仁	ren2	人 rén; 二 èr
壬	ren2	壬 rén
忍	ren3	刃 rèn; 心 xīn
刃	ren4	刀 dāo
认	ren4	言 yán; 人 rén
任	ren4 ren2	人 rén; 壬 rén
纫	ren4	糸 mì; 刃 rèn
韧	ren4	韦 wéi; 刃 rèn
扔	reng1	手 shŏu; 乃 năi
仍	reng2	人 rén; 乃 năi
日	ri4	日 rì
戎	rong2	十 shí; 戈 gē
绒	rong2	糸 mì; 戎 róng
茸	rong2 rong3	艹 căo; 耳 ĕr
荣	rong2	芁 jiāo; 木 mù
容	rong2	宀 mián; 谷 gŭ yù
溶	rong2	水 shuĭ; 容 róng
蓉	rong2	艹 căo; 容 róng
榕	rong2	木 mù; 容 róng
熔	rong2	火 huŏ; 容 róng
融	rong2	鬲 lì gé; 虫 chóng huĭ
冗	rong3	冖 mì; 几 jĭ jī
柔	rou2	矛 máo; 木 mù
揉	rou2	手 shŏu; 柔 róu
蹂	rou2	足 zú jù; 柔 róu
肉	rou4	肉 ròu
如	ru2	女 nǚ rŭ; 口 kŏu
儒	ru2	人 rén; 需 xū
蠕	ru2 ruan3	虫 chóng huĭ; 需 xū
乳	ru3	孚 fú; 乚 yĭn
辱	ru3 ru4	辰 chén; 寸 cùn
入	ru4	入 rù
褥	ru4	衣 yī yì yĭ; 辱 rŭ rù
软	ruan3	车 chē jū; 欠 qiàn qian
蕊	rui3	艹 căo; 心 xīn
锐	rui4	金 jīn; 兑 duì
瑞	rui4	王 wáng wàng; 耑 zhuān duān
闰	run4	门 mén; 王 wáng wàng
润	run4	水 shuĭ; 闰 rùn
若	ruo4 re3	艹 căo; 右 yòu
弱	ruo4	弓 gōng; 二 èr
撒	sa1 sa3	手 shŏu; 散 sàn săn san
洒	sa3	水 shuĭ; 西 xī
飒	sa4	立 lì; 风 fēng
萨	sa4	艹 căo; 阜 fù; 产 chăn
塞	sai4 se4 sai1	宑 jĭng; 土 tŭ
腮	sai1	月 yuè; 思 sī sāi
赛	sai4	宑 jĭng; 贝 bèi
三	san1	一 yī
叁	san1	参 cān cēn shēn
伞	san3	伞 săn
散	san4 san3 san5	廿 niàn; 月 yuè; 攵 pō
桑	sang1	双 shuāng; 木 mù
嗓	sang3	口 kŏu; 桑 sāng
丧	sang1 sang4 sang5	土 tŭ; 衣 yī yì yĭ
搔	sao1	手 shŏu; 蚤 zăo
骚	sao1	马 mă; 蚤 zăo
臊	sao1 sao4	月 yuè; 喿 cāo
扫	sao3 sao4	手 shŏu; 彐 jì
嫂	sao3	女 nǚ rŭ; 叟 sŏu
色	se4 shai3	人 rén; 卩 jié
涩	se4	水 shuĭ; 刃 rèn; 止 zhĭ
啬	se4	来 lái; 回 huí
瑟	se4	王 wáng wàng; 必 bì
森	sen1	木 mù
僧	seng1	人 rén; 曾 céng zēng
杀	sha1	乂 yì ài; 木 mù
沙	sha1 sha4	水 shuĭ; 少 shăo shào
纱	sha1	糸 mì; 少 shăo shào
刹	cha4 sha1	杀 shā; 刀 dāo
砂	sha1	石 shí dàn; 少 shăo shào
傻	sha3	俊 jùn zùn juàn; 囟 xìn
啥	sha2	口 kŏu; 舍 shè shĕ
煞	sha4 sha1	刍 chú; 攵 pō; 火 huŏ
霎	sha4	雨 yŭ yù; 妾 qiè
筛	shai1	竹 zhú; 师 shī
晒	shai4	日 rì; 西 xī
山	shan1	山 shān
彡	shan1	彡 shān
删	shan1	册 cè; 刀 dāo
杉	shan1 sha1	木 mù; 彡 shān
衫	shan1	衣 yī yì yĭ; 彡 shān
珊	shan1	王 wáng wàng; 册 cè
闪	shan3	门 mén; 人 rén
陕	shan3	阜 fù; 夹 jiā jiá gā
苫	shan1 shan4	艹 căo; 占 zhàn zhān
扇	shan4 shan1	户 hù; 羽 yŭ
善	shan4	羊 yáng; 口 kŏu
擅	shan4	手 shŏu; 亶 dăn dàn
膳	shan4	月 yuè; 善 shàn
赡	shan4	贝 bèi; 詹 zhān
伤	shang1	人 rén; 人 rén; 力 lì
商	shang1	辛 xīn; 冏 jiŏng
裳	shang5 chang2	尚 shàng; 衣 yī yì yĭ
晌	shang3	日 rì; 向 xiàng
赏	shang3	尚 shàng; 贝 bèi
上	shang4 shang3	上 shàng shăng
尚	shang4	八 bā bá; 向 xiàng
捎	shao1 shao4	手 shŏu; 肖 xiào xiāo
梢	shao1 sao4	木 mù; 肖 xiào xiāo
烧	shao1	火 huŏ; 尧 yáo
稍	shao1 shao4	禾 hé; 肖 xiào xiāo
勺	shao2 shuo4 biao1	勺 sháo shuò biāo
芍	shao2	艹 căo; 勺 sháo shuò biāo
少	shao3 shao4	小 xiăo
绍	shao4	糸 mì; 召 zhào shào zhāo
哨	shao4	口 kŏu; 肖 xiào xiāo
奢	she1	大 dà dài; 者 zhĕ
赊	she1	贝 bèi; 人 rén; 示 shì
舌	she2	干 gān gàn; 口 kŏu
蛇	she2 yi2	虫 chóng huĭ; 它 tā
舍	she4 she3	人 rén; 舌 shé
设	she4	言 yán; 殳 shū
社	she4	示 shì; 土 tŭ
射	she4 shi2 ye4	身 shēn juān; 寸 cùn
涉	she4	水 shuĭ; 步 bù
赦	she4	赤 chì; 攵 pō
摄	she4	手 shŏu; 聂 niè
申	shen1	申 shēn
伸	shen1	人 rén; 申 shēn
身	shen1 juan1	身 shēn juān
呻	shen1	口 kŏu; 申 shēn
绅	shen1	糸 mì; 申 shēn
罙	mi2	网 wăng; 木 mù
深	shen1	水 shuĭ; 罙 mí
神	shen2	示 shì; 申 shēn
沈	shen3 chen2	水 shuĭ; 冘 yín
审	shen3	宀 mián; 申 shēn
婶	shen3	女 nǚ rŭ; 审 shĕn
肾	shen4	臤 qiān; 月 yuè
甚	shen4 shen2 she2	甘 gān; 匹 pĭ pī yă
渗	shen4	水 shuĭ; 参 cān cēn shēn
慎	shen4	心 xīn; 真 zhēn
升	sheng1	升 shēng
生	sheng1	屮 chè; 土 tŭ
声	sheng1	士 shì; 尸 shī
牲	sheng1	牛 niú; 生 shēng
胜	sheng4 sheng1	月 yuè; 生 shēng
笙	sheng1	竹 zhú; 生 shēng
甥	sheng1	生 shēng; 男 nán
绳	sheng2	糸 mì; 黾 mĭn miăn
省	sheng3 xing3	少 shăo shào; 目 mù
圣	sheng4	又 yòu; 土 tŭ
盛	sheng4 cheng2	成 chéng; 皿 mĭn
剩	sheng4	乘 chéng shèng; 刀 dāo
尸	shi1	尸 shī
失	shi1	人 rén
师	shi1	币 bì
虱	shi1	飞 fēi; 虫 chóng huĭ
诗	shi1	言 yán; 寺 sì
施	shi1	於 wū yū yú; 也 yĕ
狮	shi1	犬 quăn quán; 师 shī
湿	shi1	水 shuĭ; 显 xiăn
十	shi2	十 shí
什	shen2 shi2 she2	人 rén; 十 shí
石	shi2 dan4	厂 chăng hăn ān; 口 kŏu
时	shi2	日 rì; 寸 cùn
识	shi1 zhi4	言 yán; 只 zhĭ zhī
实	shi2	宀 mián; 头 tóu
拾	shi2 she4	手 shŏu; 合 hé gĕ
蚀	shi2	食 shí sì yì; 虫 chóng huĭ
食	shi2 si4 yi4	亼 jí; 皀 bī
史	shi3	中 zhōng zhòng; 又 yòu
矢	shi3	矢 shĭ
豕	shi3	豕 shĭ
使	shi3 shi4	人 rén; 吏 lì
始	shi3	女 nǚ rŭ; 台 tái tāi
驶	shi3	马 mă; 史 shĭ
屎	shi3	尸 shī; 米 mĭ
士	shi4	士 shì
氏	shi4 zhi1	氏 shì zhī
世	shi4	廿 niàn; 十 shí
市	shi4	入 rù; 巾 jīn
示	shi4	示 shì
式	shi4	弋 yì; 工 gōng
事	shi4	史 shĭ; 又 yòu
侍	shi4	人 rén; 寺 sì
势	shi4	执 zhí; 力 lì
视	shi4	示 shì; 见 jiàn xiàn
试	shi4	言 yán; 式 shì
饰	shi4	食 shí sì yì; 布 bù
室	shi4	宀 mián; 至 zhì
恃	shi4	心 xīn; 寺 sì
拭	shi4	手 shŏu; 式 shì
是	shi4	日 rì; 足 zú jù
柿	shi4	木 mù; 市 shì
适	shi4 kuo4	辶 chuò; 舌 shé
逝	shi4	辶 chuò; 折 zhé shé zhē
